Date,Share Price,NAV,Discount
08/04/2022,$31.86 ,$28.51 ,11.75%
08/03/2022,$32.24 ,$28.62 ,12.65%
08/02/2022,$30.81 ,$28.05 ,9.84%
08/01/2022,$30.78 ,$28.16 ,9.30%
7/28/2022 ,$29.99 ,$27.95 ,7.30%
7/27/2022 ,$29.40 ,$27.58 ,6.60%
7/26/2022 ,$28.24 ,$26.77 ,5.49%
7/25/2022 ,$28.84 ,$27.14 ,6.26%
7/22/2022 ,$29.01 ,$27.24 ,6.50%
7/21/2022 ,$29.69 ,$27.70 ,7.18%
7/20/2022 ,$29.53 ,$27.37 ,7.89%
7/19/2022 ,$28.33 ,$26.98 ,5.00%
7/18/2022 ,$27.17 ,$26.07 ,4.22%
7/15/2022 ,$27.43 ,$26.29 ,4.34%
7/14/2022 ,$26.42 ,$25.76 ,2.56%
7/13/2022 ,$26.28 ,$25.68 ,2.34%
07/12/2022,$26.27 ,$25.66 ,2.38%
07/11/2022,$26.23 ,$25.77 ,1.79%
07/08/2022,$26.33 ,$26.06 ,1.04%
07/07/2022,$26.38 ,$25.95 ,1.66%
07/06/2022,$25.95 ,$25.38 ,2.25%
07/05/2022,$25.95 ,$25.27 ,2.69%
07/01/2022,$25.09 ,$25.01 ,0.32%
6/30/2022 ,$25.08 ,$25.23 ,-0.59%
6/29/2022 ,$25.34 ,$25.48 ,-0.55%
6/28/2022 ,$25.46 ,$25.72 ,-1.01%
6/27/2022 ,$26.01 ,$26.16 ,-0.57%
6/24/2022 ,$26.15 ,$26.13 ,0.08%
6/23/2022 ,$25.29 ,$25.47 ,-0.71%
6/22/2022 ,$24.97 ,$25.32 ,-1.38%
6/21/2022 ,$25.17 ,$25.48 ,-1.22%
6/17/2022 ,$24.50 ,$24.95 ,-1.80%
6/16/2022 ,$24.47 ,$24.64 ,-0.69%
6/15/2022 ,$25.87 ,$25.95 ,-0.31%
6/14/2022 ,$25.38 ,$25.47 ,-0.35%
6/13/2022 ,$25.56 ,$25.42 ,0.55%
06/10/2022,$27.41 ,$26.74 ,2.51%
06/09/2022,$28.84 ,$27.67 ,4.23%
06/08/2022,$29.42 ,$28.33 ,3.85%
06/07/2022,$29.86 ,$28.75 ,3.86%
06/06/2022,$29.50 ,$28.46 ,3.65%
06/03/2022,$29.48 ,$28.41 ,3.77%
06/02/2022,$30.00 ,$28.85 ,3.99%
06/01/2022,$29.23 ,$28.26 ,3.43%
5/31/2022 ,$29.40 ,$28.45 ,3.34%
5/27/2022 ,$29.68 ,$28.70 ,3.41%
5/26/2022 ,$28.64 ,$27.85 ,2.84%
5/25/2022 ,$27.74 ,$27.11 ,2.32%
5/24/2022 ,$27.25 ,$26.64 ,2.29%
5/23/2022 ,$27.61 ,$27.29 ,1.17%
5/20/2022 ,$27.26 ,$26.91 ,1.30%
5/19/2022 ,$26.95 ,$26.87 ,0.30%
5/18/2022 ,$27.11 ,$26.94 ,0.63%
5/17/2022 ,$27.95 ,$28.19 ,-0.85%
5/16/2022 ,$27.09 ,$27.21 ,-0.44%
5/13/2022 ,$27.23 ,$27.60 ,-1.34%
05/12/2022,$26.96 ,$26.98 ,-0.07%
05/11/2022,$27.11 ,$26.91 ,0.74%
05/10/2022,$27.90 ,$27.69 ,0.76%
05/09/2022,$27.58 ,$27.26 ,1.17%
05/06/2022,$28.95 ,$28.43 ,1.83%
05/05/2022,$29.52 ,$28.89 ,2.17%
05/04/2022,$29.87 ,$30.24 ,-1.22%
05/03/2022,$28.93 ,$29.28 ,-1.20%
05/02/2022,$28.86 ,$29.08 ,-0.76%
